ensembl_gene_id,Transcripts,class_9FAMILY_BASED,name,Function,Function2,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule
Glyma.01G002100,KRH74145,A,NA,ARF,ARF7/19,10.166688,11.093702,9.940766,11.778406,6.055558,6.293037,12.466244,8.948254,8.096833,5.745906,9.251965,4.882454,6.893253,1.926212
Glyma.01G002100,KRH74146,NA,NA,NA,NA,0.835179,0.651092,0,0,0.082109,0,2.170641,0,3.524888,0.121896,0,0,0,0
Glyma.01G002100,NA,A,Glyma.01G002100.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.01G019400,KRH74434,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.01G019400,NA,A,Glyma.01G019400.2,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.01G039300,NA,A,Glyma.01G039300.2,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.01G098000,KRH75635,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.01G098000,NA,A,Glyma.01G098000.3,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.01G103500,KRH75716,B,NA,ARF,ARF9,23.365836,7.195187,14.13592,28.240802,4.918282,2.088168,2.353419,26.594544,33.652046,16.405528,1.091669,0,0,0
Glyma.01G103500,KRH75717,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,34.272015,229.534254,84.12323
Glyma.01G103500,NA,B,Glyma.01G103500.1,ARF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G000500,KRH69048,A,NA,IAA,IAA3/4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G000500,NA,A,Glyma.02G000500.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G007300,NA,C,Glyma.02G007300.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G065300,KRH70053,AFB2/3,GLYMA_02G065300.1,AFB/TIR1,AFB2/3,7.99882,6.497067,7.759699,11.836297,3.848179,1.251193,4.642003,13.173016,15.326832,6.586761,4.667032,2.261619,3.118045,2.25109
Glyma.02G142400,KRH71336,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G142500,KRH71337,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G142500,NA,A,Glyma.02G142500.3,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G142600,KRH71339,A,NA,IAA,IAA3/4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G142600,NA,A,Glyma.02G142600.1,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G152800,KRH71533,NA,NA,NA,NA,0,0,0,0,0.555477,0,0.678318,0,0,0,0,12.73833,6.077747,3.294737
Glyma.02G152800,KRH71534,TIR1,GLYMA_02G152800.2,AFB/TIR1,TIR1,22.069192,16.181094,21.004047,22.849022,12.164769,15.200032,20.202937,29.352679,33.91753,17.176745,17.838179,0,0,0
Glyma.02G211800,KRH72427,NA,NA,NA,NA,6.980034,4.636579,4.172037,6.30084,4.636747,2.524239,8.454756,6.035692,6.666122,3.481629,3.870939,3.862472,10.151753,2.347075
Glyma.02G218100,KRH72524,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G218100,KRH72526,"NA",NA,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G218100,NA,A,Glyma.02G218100.3,IAA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Glyma.02G239600,KRH72896,A,NA,ARF,ARF8,18.062407,8.153791,22.217284,25.144304,6.595787,17.054927,16.326781,22.517324,12.659333,10.229414,2.716798,21.320212,7.310538,0.657995
Glyma.02G239600,KRH72897,NA,NA,NA,NA,2.909794,0,0,2.596753,0,0,1.008252,0.776824,0,0.721851,0,0,0,0
