"","x"
"1","Glyma.02g211800"
"2","Glyma.02g152800"
"3","Glyma.02g065300"
"4","Glyma.03g209400"
"5","Glyma.04g093500"
"6","Glyma.06g095400"
"7","Glyma.07g189800"
"8","Glyma.08g059500"
"9","Glyma.10g021500"
"10","Glyma.11g227300"
"11","Glyma.14g179500"
"12","Glyma.16g146400"
"13","Glyma.16g050500"
"14","Glyma.18g030200"
"15","Glyma.19g206800"
"16","Glyma.19g100200"
"17","Glyma.02g211800"
"18","Glyma.02g152800"
"19","Glyma.02g065300"
"20","Glyma.03g209400"
"21","Glyma.04g093500"
"22","Glyma.06g095400"
"23","Glyma.07g189800"
"24","Glyma.08g059500"
"25","Glyma.10g021500"
"26","Glyma.11g227300"
"27","Glyma.14g179500"
"28","Glyma.16g146400"
"29","Glyma.16g050500"
"30","Glyma.18g030200"
"31","Glyma.19g206800"
"32","Glyma.19g100200"
"33","Glyma.01g103500"
"34","Glyma.01g002100"
"35","Glyma.02g281700"
"36","Glyma.02g239600"
"37","Glyma.03g258300"
"38","Glyma.03g070500"
"39","Glyma.03g208800"
"40","Glyma.04g200600"
"41","Glyma.04g254200"
"42","Glyma.05g200800"
"43","Glyma.05g221300"
"44","Glyma.06g164900"
"45","Glyma.07g130400"
"46","Glyma.07g134800"
"47","Glyma.07g054800"
"48","Glyma.07g272800"
"49","Glyma.07g202200"
"50","Glyma.08g100100"
"51","Glyma.08g008100"
"52","Glyma.08g027800"
"53","Glyma.09g072200"
"54","Glyma.10g053500"
"55","Glyma.10g210600"
"56","Glyma.11g204200"
"57","Glyma.11g145500"
"58","Glyma.12g171000"
"59","Glyma.12g164100"
"60","Glyma.12g071000"
"61","Glyma.12g174100"
"62","Glyma.12g076200"
"63","Glyma.13g140600"
"64","Glyma.13g221400"
"65","Glyma.13g084700"
"66","Glyma.13g112600"
"67","Glyma.13g174000"
"68","Glyma.13g234200"
"69","Glyma.13g325200"
"70","Glyma.14g208500"
"71","Glyma.14g217700"
"72","Glyma.14g032700"
"73","Glyma.15g142600"
"74","Glyma.15g181000"
"75","Glyma.15g091000"
"76","Glyma.16g023600"
"77","Glyma.16g000300"
"78","Glyma.17g047100"
"79","Glyma.17g256500"
"80","Glyma.18g184500"
"81","Glyma.18g046800"
"82","Glyma.19g181900"
"83","Glyma.19g206100"
"84","Glyma.20g180000"
