Gene ID,Transcript ID,Orthology,Family,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,Class,Clade
Glyma.01G002100,Glyma.01G002100.1,GmARF7/19_F.1,ARF,10.166688,11.093702,9.940766,11.778406,6.055558,6.293037,12.466244,8.948254,8.096833,5.745906,9.251965,4.882454,6.893253,1.926212,A,II
Glyma.01G002100,Glyma.01G002100.2,GmARF7/19_F.2,ARF,0.835179,0.651092,0,0,0.082109,0,2.170641,0,3.524888,0.121896,0,0,0,0,A,II
Glyma.01G019400,Glyma.01G019400.1,GmIAA8-9-B.1,IAA,4.02322,7.572444,0,1.479181,3.67986,1.003818,8.866408,2.98328,7.873006,3.443632,6.039812,10.540945,5.246408,0.577947,A,I
Glyma.01G019400,Glyma.01G019400.2,GmIAA8-9-B.2,IAA,3.945653,0,6.009114,7.650699,2.217478,2.098637,11.260883,9.399142,0,2.491927,0.94629,11.828802,22.566715,1.890763,A,I
Glyma.01G019400,Glyma.01G019400.3,GmIAA8-9-B.3,IAA,22.514233,35.850834,20.735453,26.681081,16.122488,4.029864,88.717989,25.081359,26.514627,29.093086,17.719987,6.167892,0,0,A,I
Glyma.01G019400,Glyma.01G019400.4,GmIAA8-9-B.4,IAA,0.014433,0.173619,0.302269,0.313656,0.184011,0,0.820391,0.061346,0.014549,0,0.144012,0.748744,0.593514,0,A,I
Glyma.01G039300,Glyma.01G039300.2,GmIAA27-B.2,IAA,4.062141,0.862417,0.376722,11.065203,0.976175,0,1.387266,1.412175,4.055776,3.083131,0,0,0,0,A,I
Glyma.01G098000,Glyma.01G098000.3,GmIAA8-9-D.3,IAA,68.216252,51.350688,53.553189,96.27502,32.628226,78.301786,172.112449,101.53884,108.035003,57.568952,3.602672,72.181052,53.72897,22.341412,A,I
Glyma.01G103500,Glyma.01G103500.1,GmARF9_A.1,ARF,23.365836,7.195187,14.13592,28.240802,4.918282,2.088168,2.353419,26.594544,33.652046,16.405528,1.091669,0,0,0,B,I
Glyma.01G103500,Glyma.01G103500.2,GmARF9_A.2,ARF,0,0,0,0,0,0,0,0,0,0,0,34.272015,229.534254,84.12323,B,I
Glyma.02G000500,Glyma.02G000500.1,GmIAA1-4-D.1,IAA,26.459121,33.054283,14.316242,11.978024,28.392084,6.330986,104.808194,23.099767,22.503421,43.447162,1.464937,6.870823,11.532303,0.666816,B,II
Glyma.02G007300,Glyma.02G007300.1,GmIAA31-F.1,IAA,0.080169,0.985836,1.08623,0.545382,0.024311,0,0.488355,0.326483,0.180057,0.724987,0,0.192088,0.172552,0,B,II
Glyma.02G065300,Glyma.02G065300.1,GmAFB2/3_C.1,AFB/TIR1,7.99882,6.497067,7.759699,11.836297,3.848179,1.251193,4.642003,13.173016,15.326832,6.586761,4.667032,2.261619,3.118045,2.25109,AFB2/3,II
Glyma.02G142500,Glyma.02G142500.3,GmIAA16-F.3,IAA,14.68807,529.887081,73.110411,28.516509,43.238091,0.202364,114.709942,7.356839,6.637677,7.455989,1.051705,20.562404,67.38361,1.533396,C,III
Glyma.02G142600,Glyma.02G142600.1,GmIAA1-4-H.1,IAA,4.368019,80.689917,19.626818,21.442406,19.235016,5.923423,13.590338,2.986723,4.786668,1.771882,0.679705,7.348507,2.26301,6.204933,B,II
Glyma.02G142600,Glyma.02G142600.2,GmIAA1-4-H.2,IAA,7.183183,123.498739,59.346739,33.350047000000004,24.031058,8.6071,28.247052,0,4.404992,1.801174,0,0,0,0,B,II
Glyma.02G152800,Glyma.02G152800.1,GmTIR1/AFB1_D.1,AFB/TIR1,0,0,0,0,0.555477,0,0.678318,0,0,0,0,12.73833,6.077747,3.294737,TIR1/AFB1,I
Glyma.02G152800,Glyma.02G152800.2,GmTIR1/AFB1_D.2,AFB/TIR1,22.069192,16.181094,21.004047,22.849022,12.164769,15.200032,20.202937,29.352679,33.91753,17.176745,17.838179,0,0,0,TIR1/AFB1,I
Glyma.02G211800,Glyma.02G211800.1,GmAFB4/5_D.1,AFB/TIR1,6.980034,4.636579,4.172037,6.30084,4.636747,2.524239,8.454756,6.035692,6.666122,3.481629,3.870939,3.862472,10.151753,2.347075,AFB4/5,IV
