Orthology,AM,OF,IAM,IBM,RootTip,Cotyledon,Hypocotyl,SAM6D,SAM17D,SAM38D,Callus,Leaf,Root,Nodule,tau
GmARF7/19_F.1,0.82,0.89,0.80,0.94,0.49,0.50,1.00,0.72,0.65,0.46,0.74,0.39,0.55,0.15,0.38
GmIAA8-9-B.1,0.38,0.72,0.00,0.14,0.35,0.10,0.84,0.28,0.75,0.33,0.57,1.00,0.50,0.05,0.61
GmIAA8-9-B.2,0.17,0.00,0.27,0.34,0.10,0.09,0.50,0.42,0.00,0.11,0.04,0.52,1.00,0.08,0.80
GmIAA8-9-B.3,0.25,0.40,0.23,0.30,0.18,0.05,1.00,0.28,0.30,0.33,0.20,0.07,0.00,0.00,0.80
GmIAA8-9-D.3,0.40,0.30,0.31,0.56,0.19,0.45,1.00,0.59,0.63,0.33,0.02,0.42,0.31,0.13,0.64
GmARF9_A.1,0.69,0.21,0.42,0.84,0.15,0.06,0.07,0.79,1.00,0.49,0.03,0.00,0.00,0.00,0.71
GmIAA1-4-D.1,0.25,0.32,0.14,0.11,0.27,0.06,1.00,0.22,0.21,0.41,0.01,0.07,0.11,0.01,0.83
GmAFB2/3_C.1,0.52,0.42,0.51,0.77,0.25,0.08,0.30,0.86,1.00,0.43,0.30,0.15,0.20,0.15,0.62
GmIAA16-F.3,0.03,1.00,0.14,0.05,0.08,0.00,0.22,0.01,0.01,0.01,0.00,0.04,0.13,0.00,0.94
GmIAA1-4-H.1,0.05,1.00,0.24,0.27,0.24,0.07,0.17,0.04,0.06,0.02,0.01,0.09,0.03,0.08,0.89
GmIAA1-4-H.2,0.06,1.00,0.48,0.27,0.19,0.07,0.23,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.90
GmTIR1/AFB1_D.2,0.65,0.48,0.62,0.67,0.36,0.45,0.60,0.87,1.00,0.51,0.53,0.00,0.00,0.00,0.56
GmAFB4/5_D.1,0.69,0.46,0.41,0.62,0.46,0.25,0.83,0.59,0.66,0.34,0.38,0.38,1.00,0.23,0.52
GmIAA8-9-H.2,0.28,0.52,0.15,0.31,0.29,0.10,0.31,0.66,0.72,0.35,0.04,0.27,1.00,0.09,0.69
GmIAA8-9-H.4,0.64,1.00,0.60,0.55,0.28,0.09,0.56,0.87,0.60,0.47,0.07,0.00,0.00,0.00,0.63
GmARF8_C.1,0.72,0.32,0.88,1.00,0.26,0.68,0.65,0.90,0.50,0.41,0.11,0.85,0.29,0.03,0.49
GmARF8_C.3,0.54,0.08,0.61,0.75,0.09,0.00,0.35,0.77,1.00,0.39,0.09,0.00,0.05,0.00,0.71
GmARF8_C.5,0.41,0.41,0.26,0.22,0.18,0.42,1.00,0.00,0.35,0.40,0.05,0.00,0.00,0.00,0.79
GmARF6_E.1,0.81,0.52,0.64,0.84,0.28,0.42,0.69,0.63,1.00,0.57,0.39,0.41,0.16,0.13,0.50
GmARF9_B.1,0.12,0.07,0.08,0.14,0.05,0.05,0.03,0.17,0.11,0.08,0.02,0.34,1.00,0.22,0.89
GmARF9_B.2,0.81,0.58,0.73,0.76,0.15,0.15,0.13,0.85,1.00,0.68,0.01,0.15,0.78,0.06,0.55
GmIAA1-4-F.1,0.06,1.00,0.23,0.09,0.13,0.00,0.44,0.02,0.04,0.03,0.00,0.06,0.08,0.00,0.91
GmIAA16-H.1,0.16,0.49,0.17,0.13,0.25,0.03,1.00,0.05,0.10,0.19,0.00,0.02,0.04,0.01,0.87
GmTIR1/AFB1_B.1,0.91,0.93,0.50,0.73,0.33,0.79,0.73,1.00,0.88,0.72,0.41,0.94,0.19,0.04,0.38
GmIAA16-C.1,0.57,0.84,0.67,0.63,0.32,0.47,1.00,0.35,0.50,0.40,0.30,0.83,0.45,0.03,0.51
GmARF11/18_C.1,0.24,0.18,0.13,0.24,0.05,0.61,0.43,0.23,0.37,0.18,0.25,1.00,0.78,0.27,0.69
GmIAA8-9-F.1,0.39,0.26,0.37,0.49,0.14,0.32,1.00,0.52,0.72,0.39,0.25,0.24,0.34,0.15,0.65
GmAFB4/5_B.1,0.81,0.76,0.50,0.72,0.17,0.19,0.65,0.82,1.00,0.59,0.33,0.21,0.39,0.05,0.52
GmARF2_B.1,0.57,0.33,0.52,1.00,0.06,0.14,0.13,0.38,0.65,0.32,0.05,0.22,0.12,0.10,0.72
GmARF2_B.2,0.39,0.24,0.56,0.19,0.00,0.02,0.07,0.00,1.00,0.29,0.11,0.00,0.07,0.02,0.85
GmARF17_F.1,0.81,0.23,0.62,1.00,0.22,0.26,0.45,0.69,0.89,0.74,0.30,0.43,0.12,0.26,0.54
GmARF2_C.1,0.54,0.17,0.30,0.76,0.10,0.49,0.48,0.72,0.71,0.37,0.10,1.00,0.58,0.48,0.55
GmARF2_C.4,0.37,0.14,0.31,0.31,0.01,0.09,0.13,0.26,1.00,0.35,0.09,0.00,0.00,0.00,0.84
GmARF7/19_G.2,0.18,0.35,0.24,0.27,0.02,0.15,0.11,0.00,0.42,0.16,1.00,0.00,0.00,0.00,0.85
GmIAA27-A.1,0.56,0.26,0.65,0.51,0.81,0.06,1.00,0.36,0.37,0.53,0.06,0.45,0.34,0.11,0.61
GmIAA8-9-E.3,0.31,0.19,0.21,0.29,0.04,0.31,0.30,0.58,1.00,0.46,0.18,0.12,0.05,0.06,0.76
