Transcript ID,heatmap_label,tau
Glyma.01G019400.3,Glyma.01G019400|GmIAA8-9-B.3,0.8001351450831465
Glyma.02G000500.1,Glyma.02G000500|GmIAA1-4-D.1,0.8311083541367444
Glyma.02G142500.3,Glyma.02G142500|GmIAA16-F.3,0.9438999479095549
Glyma.02G142600.1,Glyma.02G142600|GmIAA1-4-H.1,0.8949182899576106
Glyma.02G142600.2,Glyma.02G142600|GmIAA1-4-H.2,0.8959993460711804
Glyma.03G070500.1,Glyma.03G070500|GmARF9_B.1,0.8865183846385036
Glyma.03G158600.1,Glyma.03G158600|GmIAA1-4-F.1,0.9096283893769116
Glyma.03G158700.1,Glyma.03G158700|GmIAA16-H.1,0.8738439362998001
Glyma.04G200600.2,Glyma.04G200600|GmARF2_B.2,0.8494391998668711
Glyma.05G200800.4,Glyma.05G200800|GmARF2_C.4,0.8416374877429763
Glyma.05G221300.2,Glyma.05G221300|GmARF7/19_G.2,0.8540878783229047
Glyma.06G164900.3,Glyma.06G164900|GmARF2_A.3,0.8238934161531731
Glyma.07G034200.1,Glyma.07G034200|GmIAA6/19-C.1,0.9558644271584863
Glyma.08G027800.1,Glyma.08G027800|GmARF7/19_H.1,0.8443267458878628
Glyma.08G200700.2,Glyma.08G200700|GmIAA18/26/28-B.2,0.9547449971209813
Glyma.09G193000.1,Glyma.09G193000|GmIAA27-D.1,0.8089881282572738
Glyma.09G203300.1,Glyma.09G203300|GmIAA8-9-A.1,0.8182084025261861
Glyma.10G031800.3,Glyma.10G031800|GmIAA1-4-G.3,0.890003946921566
Glyma.10G031900.1,Glyma.10G031900|GmIAA16-E.1,0.8495642866706792
Glyma.10G040400.3,Glyma.10G040400|GmIAA12-13-D.3,0.8131137141830037
Glyma.10G162400.2,Glyma.10G162400|GmIAA16-A.2,0.8611118048192724
Glyma.10G180000.1,Glyma.10G180000|GmIAA1-4-A.1,0.8846272274933787
Glyma.10G180100.1,Glyma.10G180100|GmIAA7/14/17-A.1,0.8923229243056038
Glyma.13G112600.1,Glyma.13G112600|GmARF7/19_D.1,0.8348639048345353
Glyma.13G361100.1,Glyma.13G361100|GmIAA6/19-A.1,0.8576153699023716
Glyma.15G017500.1,Glyma.15G017500|GmIAA27-F.1,0.8448907195918725
Glyma.17G256500.1,Glyma.17G256500|GmARF5_B.1,0.887580541771388
Glyma.19G161000.1,Glyma.19G161000|GmIAA1-4-E.1,0.8467815390682429
Glyma.19G161000.3,Glyma.19G161000|GmIAA1-4-E.3,0.9278063846272292
Glyma.19G161100.1,Glyma.19G161100|GmIAA16-G.1,0.9413550790018974
Glyma.20G210400.1,Glyma.20G210400|GmIAA7/14/17-B.1,0.9346188632673234
Glyma.20G210500.1,Glyma.20G210500|GmIAA1-4-B.1,0.8141887936375968
