tair_locus,name,Species
AT1G04100.1,AtIAA10,A. thaliana
AT1G04240.2,AtIAA3,A. thaliana
AT1G04250.1,AtIAA17,A. thaliana
AT1G04550.2,AtIAA12,A. thaliana
AT1G15050.1,AtIAA34,A. thaliana
AT1G15580.1,AtIAA5,A. thaliana
AT1G51950.1,AtIAA18,A. thaliana
AT1G52830.1,AtIAA6,A. thaliana
AT1G80390.1,AtIAA15,A. thaliana
AT2G01200.2,AtIAA32,A. thaliana
AT2G22670.4,AtIAA8,A. thaliana
AT2G33310.2,AtIAA13,A. thaliana
AT2G46990.1,AtIAA20,A. thaliana
AT3G04730.1,AtIAA16,A. thaliana
AT3G15540.1,AtIAA19,A. thaliana
AT3G16500.1,AtIAA26,A. thaliana
AT3G17600.1,AtIAA31,A. thaliana
AT3G23030.2,AtIAA2,A. thaliana
AT3G23050.1,AtIAA7,A. thaliana
AT3G62100.1,AtIAA30,A. thaliana
AT4G14550.2,AtIAA14,A. thaliana
AT4G14560.1,AtIAA1,A. thaliana
AT4G28640.2,AtIAA11,A. thaliana
AT4G29080.1,AtIAA27,A. thaliana
AT4G32280.1,AtIAA29,A. thaliana
AT5G25890.1,AtIAA28,A. thaliana
AT5G43700.1,AtIAA4,A. thaliana
AT5G57420.1,AtIAA33,A. thaliana
AT5G65670.1,AtIAA9,A. thaliana
Glyma.01G019400.2,Glyma.01G019400.2,G. max
Glyma.01G039300.2,Glyma.01G039300.2,G. max
Glyma.01G098000.3,Glyma.01G098000.3,G. max
Glyma.02G000500.1,Glyma.02G000500.1,G. max
Glyma.02G007300.1,Glyma.02G007300.1,G. max
Glyma.02G142500.3,Glyma.02G142500.3,G. max
Glyma.02G142600.1,Glyma.02G142600.1,G. max
Glyma.02G218100.3,Glyma.02G218100.3,G. max
Glyma.03G158600.1,Glyma.03G158600.1,G. max
Glyma.03G158700.1,Glyma.03G158700.1,G. max
Glyma.03G167400.9,Glyma.03G167400.9,G. max
Glyma.03G224800.1,Glyma.03G224800.1,G. max
Glyma.03G247400.1,Glyma.03G247400.1,G. max
Glyma.04G066300.1,Glyma.04G066300.1,G. max
Glyma.04G089900.1,Glyma.04G089900.1,G. max
Glyma.05G229300.1,Glyma.05G229300.1,G. max
Glyma.06G067700.1,Glyma.06G067700.1,G. max
Glyma.06G091700.3,Glyma.06G091700.3,G. max
Glyma.07G015200.1,Glyma.07G015200.1,G. max
Glyma.07G018100.1,Glyma.07G018100.1,G. max
Glyma.07G034200.1,Glyma.07G034200.1,G. max
Glyma.08G036400.1,Glyma.08G036400.1,G. max
Glyma.08G200700.1,Glyma.08G200700.1,G. max
Glyma.08G203100.1,Glyma.08G203100.1,G. max
Glyma.08G207900.1,Glyma.08G207900.1,G. max
Glyma.08G273500.1,Glyma.08G273500.1,G. max
Glyma.09G193000.1,Glyma.09G193000.1,G. max
Glyma.09G203300.1,Glyma.09G203300.1,G. max
Glyma.10G000700.2,Glyma.10G000700.2,G. max
Glyma.10G031800.3,Glyma.10G031800.3,G. max
Glyma.10G031900.1,Glyma.10G031900.1,G. max
Glyma.10G040400.3,Glyma.10G040400.3,G. max
Glyma.10G138500.1,Glyma.10G138500.1,G. max
Glyma.10G162400.2,Glyma.10G162400.2,G. max
Glyma.10G180000.1,Glyma.10G180000.1,G. max
Glyma.10G180100.1,Glyma.10G180100.1,G. max
Glyma.10G270500.1,Glyma.10G270500.1,G. max
Glyma.13G117100.1,Glyma.13G117100.1,G. max
Glyma.13G127000.3,Glyma.13G127000.3,G. max
