Gene stable ID,Transcript stable ID,Protein stable ID,Exon stable ID,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Karyotype band,Transcript start (bp),Transcript end (bp),Transcription start site (TSS),Transcript length (including UTRs and CDS),Gene name,Source of gene name,Transcript count,Gene % GC content,Gene type,Transcript type,Source (gene),Source (transcript),Gene Synonym
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-1,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-2,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-3,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-4,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-5,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-6,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-7,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-8,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-9,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-10,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-11,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-12,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-13,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-14,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-2,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-3,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-4,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-5,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
