tair_locus,names,Source
Medtr3g070140.1,Medtr3g070140.1,NA
Medtr3g100860.1,Medtr3g100860.1,NA
Medtr8g098695.2,Medtr8g098695.2/AFB6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8395167/#!po=13.4921
Medtr7g083610.1,Medtr7g083610.1,NA
Medtr5g065490.1,Medtr5g065490.1,NA
Medtr5g081870.1,Medtr5g081870.1,NA
Medtr1g088950.1,Medtr1g088950.1,NA
Medtr4g091290.1,Medtr4g091290.1,NA
AT2G39940.1,AT2G39940/COI1,NA
AT4G03190.1,AT4G03190/AFB1,NA
AT4G24390.1,AT4G24390/AFB4,NA
AT1G12820.1,AT1G12820/AFB3,NA
AT3G26810.1,AT3G26810/AFB2,NA
AT3G62980.1,AT3G62980/TIR1,NA
AT5G49980.1,AT5G49980/AFB5,NA
Glyma.16G050500.1,Glyma.16G050500.1,NA
Glyma.16G146400.1,Glyma.16G146400.1,NA
Glyma.04G093500.1,Glyma.04G093500.1,NA
Glyma.02G065300.1,Glyma.02G065300.1,NA
Glyma.02G211800.1,Glyma.02G211800.1,NA
Glyma.02G254300.1,Glyma.02G254300.1,NA
Glyma.02G152800.2,Glyma.02G152800.2,NA
Glyma.02G152800.3,Glyma.02G152800.3,NA
Glyma.10G021500.2,Glyma.10G021500.2,NA
Glyma.08G059500.6,Glyma.08G059500.6,NA
Glyma.07G189800.5,Glyma.07G189800.5,NA
Glyma.11G227300.1,Glyma.11G227300.1,NA
Glyma.14G179500.1,Glyma.14G179500.1,NA
Glyma.14G062100.1,Glyma.14G062100.1,NA
Glyma.06G095400.1,Glyma.06G095400.1,NA
Glyma.03G209400.1,Glyma.03G209400.1,NA
Glyma.19G100200.1,Glyma.19G100200.1,NA
Glyma.19G206800.1,Glyma.19G206800.1,NA
Glyma.18G030200.1,Glyma.18G030200.1,NA
GlysoPI483463.19G168300.1,GlysoPI483463.19G168300.1,NA
GlysoPI483463.03G169700.1,GlysoPI483463.03G169700.1,NA
GlysoPI483463.14G141800.1,GlysoPI483463.14G141800.1,NA
GlysoPI483463.02G212600.1,GlysoPI483463.02G212600.1,NA
GlysoPI483463.02G175100.1,GlysoPI483463.02G175100.1,NA
Lj1g0006513.1,Lj1g0006513.1,NA
Lj1g0027142.1,Lj1g0027142.1,NA
Lj1g0015670.1,Lj1g0015670.1,NA
Lj3g0010583.1,Lj3g0010583.1,NA
Lj5g0004781.1,Lj5g0004781.1,NA
LjContig00357g0020173.1,LjContig00357g0020173.1,NA
Lj6g0020395.1,Lj6g0020395.1,NA
Lj4g0012889.1,Lj4g0012889.1/AFB6,NA
