tair_locus,class,name,ensembl_gene_id,ortholog_name
Glyma.14G217700.1,A,GmARF5,Glyma.14G217700,GmARF5_A
Glyma.17G256500.1,A,GmARF5,Glyma.17G256500,GmARF5_B
Glyma.09G072200.1,A,GmARF7/19,Glyma.09G072200,GmARF7/19_A
Glyma.15G181000.1,A,GmARF7/19,Glyma.15G181000,GmARF7/19_B
Glyma.17G047100.1,A,GmARF7/19,Glyma.17G047100,GmARF7/19_C
Glyma.13G112600.1,A,GmARF7/19,Glyma.13G112600,GmARF7/19_D
Glyma.07G130400.1,A,GmARF7/19,Glyma.07G130400,GmARF7/19_E
Glyma.01G002100.1,A,GmARF7/19,Glyma.01G002100,GmARF7/19_F
Glyma.05G221300.1,A,GmARF7/19,Glyma.05G221300,GmARF7/19_G
Glyma.08G027800.1,A,GmARF7/19,Glyma.08G027800,GmARF7/19_H
Glyma.11G204200.1,A,GmARF8,Glyma.11G204200,GmARF8_A
Glyma.18G046800.1,A,GmARF8,Glyma.18G046800,GmARF8_B
Glyma.02G239600.1,A,GmARF8,Glyma.02G239600,GmARF8_C
Glyma.14G208500.1,A,GmARF8,Glyma.14G208500,GmARF8_D
Glyma.08G100100.3,A,GmARF6,Glyma.08G100100,GmARF6_A
Glyma.05G143800.2,A,GmARF6,Glyma.05G143800,GmARF6_B
Glyma.13G221400.1,A,GmARF6,Glyma.13G221400,GmARF6_C
Glyma.15G091000.1,A,GmARF6,Glyma.15G091000,GmARF6_D
Glyma.02G281700.1,A,GmARF6,Glyma.02G281700,GmARF6_E
Glyma.14G032700.1,A,GmARF6,Glyma.14G032700,GmARF6_F
Glyma.12G071000.1,B,GmARF4,Glyma.12G071000,GmARF4_A
Glyma.11G154632.1,B,GmARF4,Glyma.11G154632,GmARF4_B
Glyma.12G171000.1,B,GmARF4,Glyma.12G171000,GmARF4_C
Glyma.07G202200.1,B,GmARF3,Glyma.07G202200,GmARF3_A
Glyma.13G174000.1,B,GmARF3,Glyma.13G174000,GmARF3_B
Glyma.13G234200.1,B,GmARF3,Glyma.13G234200,GmARF3_C
Glyma.15G078800.1,B,GmARF3,Glyma.15G078800,GmARF3_D
Glyma.06G164900.3,B,GmARF2,Glyma.06G164900,GmARF2_A
Glyma.04G200600.1,B,GmARF2,Glyma.04G200600,GmARF2_B
Glyma.05G200800.4,B,GmARF2,Glyma.05G200800,GmARF2_C
Glyma.08G008100.3,B,GmARF2,Glyma.08G008100,GmARF2_D
Glyma.03G208800.1,B,GmARF2,Glyma.03G208800,GmARF2_E
Glyma.12G164100.1,B,GmARF1,Glyma.12G164100,GmARF1_A
Glyma.16G000300.1,B,GmARF1,Glyma.16G000300,GmARF1_B
Glyma.07G272800.1,B,GmARF1,Glyma.07G272800,GmARF1_C
Glyma.16G023600.1,B,GmARF11/18,Glyma.16G023600,GmARF11/18_A
Glyma.07G054800.1,B,GmARF11/18,Glyma.07G054800,GmARF11/18_B
Glyma.03G258300.1,B,GmARF11/18,Glyma.03G258300,GmARF11/18_C
Glyma.15G142600.1,B,GmARF13,Glyma.15G142600,GmARF13_A
Glyma.01G103500.1,B,GmARF9,Glyma.01G103500,GmARF9_A
Glyma.03G070500.1,B,GmARF9,Glyma.03G070500,GmARF9_B
Glyma.07G134800.1,B,GmARF9,Glyma.07G134800,GmARF9_C
Glyma.18G184500.1,B,GmARF9,Glyma.18G184500,GmARF9_D
Glyma.12G174100.1,C,GmARF10/16,Glyma.12G174100,GmARF10/16_A
Glyma.13G325200.1,C,GmARF10/16,Glyma.13G325200,GmARF10/16_B
Glyma.12G076200.1,C,GmARF10/16,Glyma.12G076200,GmARF10/16_C
Glyma.11G145500.1,C,GmARF10/16,Glyma.11G145500,GmARF10/16_D
Glyma.10G210600.1,C,GmARF10/16,Glyma.10G210600,GmARF10/16_E
Glyma.20G180000.1,C,GmARF10/16,Glyma.20G180000,GmARF10/16_F
Glyma.10G053500.1,C,GmARF17,Glyma.10G053500,GmARF17_A
Glyma.13G140600.1,C,GmARF17,Glyma.13G140600,GmARF17_B
Glyma.19G181900.2,C,GmARF17,Glyma.19G181900,GmARF17_C
Glyma.13G084700.1,C,GmARF17,Glyma.13G084700,GmARF17_D
Glyma.14G166500.1,C,GmARF17,Glyma.14G166500,GmARF17_E
Glyma.04G254200.1,C,GmARF17,Glyma.04G254200,GmARF17_F
