ensembl_gene_id,Class,Transcripts,name,Family,Sub_Family,chromosome_me,start_position,end_position,strand,transcript_start,transcript_end,Length.AM,EffectiveLength.AM,TPM.AM,NumReads.AM,Length.OF,EffectiveLength.OF,TPM.OF,NumReads.OF,Length.IBM,EffectiveLength.IBM,TPM.IBM,NumReads.IBM,Length.IAM,EffectiveLength.IAM,TPM.IAM,NumReads.IAM,Length.SAM6D,EffectiveLength.SAM6D,TPM.SAM6D,NumReads.SAM6D,Length.SAM17D,EffectiveLength.SAM17D,TPM.SAM17D,NumReads.SAM17D,Length.SAM38D,EffectiveLength.SAM38D,TPM.SAM38D,NumReads.SAM38D,Length.RootTip,EffectiveLength.RootTip,TPM.RootTip,NumReads.RootTip,Length.Callus,EffectiveLength.Callus,TPM.Callus,NumReads.Callus,Length.Hypocotyl,EffectiveLength.Hypocotyl,TPM.Hypocotyl,NumReads.Hypocotyl,Length.Cotyledon,EffectiveLength.Cotyledon,TPM.Cotyledon,NumReads.Cotyledon,Length.Leaf,EffectiveLength.Leaf,TPM.Leaf,NumReads.Leaf,Length.Root,EffectiveLength.Root,TPM.Root,NumReads.Root,Length.Nodule,EffectiveLength.Nodule,TPM.Nodule,NumReads.Nodule,ortholog_name
Glyma.01G002100,A,KRH74145,Glyma.01G002100.1,ARF,ARF7/19,1,291328,297375,-1,291328,297375,4096,3847,10.166688,1707.79199999999,4096,3847,11.093702,1818.51,4096,3847,11.778406,1612.548,4096,3847,9.940766,1725.395,4096,3847,8.948254,1599.419,4096,3847,8.096833,1413.009,4096,3847,5.74590599999999,925.003,4096,3847,6.055558,2301.112,4096,3847,9.251965,1699.51299999999,4096,3847,12.466244,3839.713,4096,3847,6.293037,2092.66199999999,4096,3846,4.882454,114.251,4096,3846,6.89325299999999,179.49,4096,3846,1.926212,48.8879999999999,GmARF7/19_A
Glyma.01G002100,A,KRH74146,Glyma.01G002100.2,ARF,ARF7/19,1,291328,297375,-1,292533,297250,3207,2958,0.835179,107.873,3207,2958,0.651092,82.0649999999999,3207,2958,0,0,3207,2958,0,0,3207,2958,0,0,3207,2958,3.52488799999999,472.988999999999,3207,2958,0.121896,15.089,3207,2958,0.082109,23.991,3207,2958,0,0,3207,2958,2.17064099999999,514.076,3207,2958,0,0,3207,2957,0,0,3207,2957,0,0,3207,2957,0,0,GmARF7/19_A
Glyma.01G019400,A,KRH74432,Glyma.01G019400.1,IAA,IAA8/9,1,1886628,1890851,-1,1886628,1890851,2359,2110,4.02322,370.672,2359,2110,7.572444,680.825,2359,2110,1.479181,111.072999999999,2359,2110,0,0,2359,2110,2.98328,292.468,2359,2110,7.873006,753.581999999999,2359,2110,3.443632,304.060999999999,2359,2110,3.67986,766.964,2359,2110,6.039812,608.519,2359,2110,8.86640799999999,1497.85999999999,2359,2110,1.003818,183.086,2359,2109,10.540945,135.258999999999,2359,2109,5.24640799999999,74.911,2359,2109,0.577946999999999,8.044,GmIAA8/9_A
Glyma.01G019400,A,KRH74434,Glyma.01G019400.3,IAA,IAA8/9,1,1886628,1890851,-1,1887049,1889993,1080,831,22.514233,816.942999999999,1080,831,35.8508339999999,1269.45499999999,1080,831,26.6810809999999,789.057,1080,831,20.735453,777.429999999999,1080,831,25.0813589999999,968.398,1080,831,26.514627,999.525999999999,1080,831,29.093086,1011.703,1080,831,16.122488,1323.41,1080,831,17.719987,703.125,1080,831,88.717989,5902.73999999999,1080,831,4.02986399999999,289.473,1080,830,6.167892,31.148,1080,830,0,0,1080,830,0,0,GmIAA8/9_A
Glyma.01G019400,A,KRH74433,Glyma.01G019400.2,IAA,IAA8/9,1,1886628,1890851,-1,1886628,1890669,2177,1928,3.945653,332.168999999999,2177,1928,0,0,2177,1928,7.650699,524.942999999999,2177,1928,6.009114,522.714,2177,1928,9.39914199999999,841.971,2177,1928,0,0,2177,1928,2.491927,201.05,2177,1928,2.21747799999999,422.307,2177,1928,0.946289999999999,87.116,2177,1928,11.260883,1738.28299999999,2177,1928,2.098637,349.752999999999,2177,1927,11.828802,138.686,2177,1927,22.5667149999999,294.413,2177,1927,1.890763,24.044,GmIAA8/9_A
Glyma.01G019400,A,KRH74435,Glyma.01G019400.4,IAA,IAA8/9,1,1886628,1890851,-1,1887921,1890811,2553,2304,0.014433,1.452,2553,2304,0.173619,17.045,2553,2304,0.313655999999999,25.718,2553,2304,0.302269,31.4209999999999,2553,2304,0.0613459999999999,6.567,2553,2304,0.0145489999999999,1.52099999999999,2553,2304,0,0,2553,2304,0.184011,41.878,2553,2304,0.144012,15.843,2553,2304,0.820390999999999,151.336999999999,2553,2304,0,0,2553,2303,0.748743999999999,10.492,2553,2303,0.593513999999999,9.25399999999999,2553,2303,0,0,GmIAA8/9_A
Glyma.01G039300,A,KRH74730,Glyma.01G039300.2,IAA,IAA27,1,4256747,4258161,-1,4256747,4258161,486,237,4.06214099999999,42.0369999999999,486,237,0.862416999999999,8.70899999999999,486,237,11.065203,93.328,486,237,0.376722,4.02799999999999,486,237,1.412175,15.55,486,237,4.05577599999999,43.6039999999999,486,237,3.08313099999999,30.5779999999999,486,237,0.976175,22.853,486,237,0,0,486,237,1.387266,26.324,486,237,0,0,486,236,0,0,486,236,0,0,486,236,0,0,GmIAA27_A
Glyma.01G098000,A,KRH75635,Glyma.01G098000.3,IAA,IAA27,1,32569826,32573493,-1,32569826,32573493,951,702,68.2162519999999,2091.021,951,702,51.3506879999999,1536.03299999999,951,702,96.2750199999999,2405.219,951,702,53.553189,1696.169,951,702,101.538839999999,3311.85199999999,951,702,108.035003,3440.40099999999,951,702,57.568952,1691.172,951,702,32.6282259999999,2262.518,951,702,3.602672,120.762,951,702,172.112449,9673.64999999999,951,702,78.301786,4751.44099999999,951,701,72.1810519999999,307.858999999999,951,701,53.7289699999999,254.996,951,701,22.3414119999999,103.352,GmIAA27_B
Glyma.01G103500,B,KRH75716,Glyma.01G103500.1,ARF,ARF9,1,34600880,34605669,-1,34600880,34605657,3056,2807,23.365836,2863.895,3056,2807,7.19518699999999,860.6,3056,2807,28.2408019999999,2821.13099999999,3056,2807,14.13592,1790.248,3056,2807,26.5945439999999,3468.45899999999,3056,2807,33.6520459999999,4285.10499999999,3056,2807,16.405528,1927.058,3056,2807,4.91828199999999,1363.69499999999,3056,2807,1.091669,146.318999999999,3056,2807,2.353419,528.910999999999,3056,2807,2.088168,506.668999999999,3056,2806,0,0,3056,2806,0,0,3056,2806,0,0,GmARF9_A
Glyma.01G103500,B,KRH75717,Glyma.01G103500.2,ARF,ARF9,1,34600880,34605669,-1,34600880,34605669,3068,2819,0,0,3068,2819,0,0,3068,2819,0,0,3068,2819,0,0,3068,2819,0,0,3068,2819,0,0,3068,2819,0,0,3068,2819,0,0,3068,2819,0,0,3068,2819,0,0,3068,2819,0,0,3068,2818,34.272015,587.613,3068,2818,229.534254,4379.21,3068,2818,84.12323,1564.39699999999,GmARF9_A
Glyma.02G000500,A,KRH69048,Glyma.02G000500.1,IAA,IAA3/4,2,56569,58453,-1,56569,58453,1159,910,26.459121,1051.357,1159,910,33.0542829999999,1281.699,1159,910,11.978024,387.91,1159,910,14.316242,587.783,1159,910,23.099767,976.676,1159,910,22.5034209999999,928.961,1159,910,43.4471619999999,1654.49299999999,1159,910,28.392084,2552.114,1159,910,1.46493699999999,63.654,1159,910,104.808194,7636.20499999999,1159,910,6.330986,498,1159,909,6.87082299999999,38,1159,909,11.532303,70.9719999999999,1159,909,0.666815999999999,4,GmIAA3/4_A
Glyma.02G007300,C,KRH69143,Glyma.02G007300.1,IAA,IAA20/30,2,761828,763421,1,761828,763421,1106,857,0.080169,3,1106,857,0.985836,36,1106,857,0.545382,16.634,1106,857,1.08623,42,1106,857,0.326483,13,1106,857,0.180056999999999,7,1106,857,0.724987,26,1106,857,0.0243109999999999,2.05799999999999,1106,857,0,0,1106,857,0.488354999999999,33.509,1106,857,0,0,1106,856,0.192088,1,1106,856,0.172552,1,1106,856,0,0,GmIAA20/30_A
Glyma.02G065300,AFB2/3,KRH70053,Glyma.02G065300.1,AFB/TIR1,AFB2/3,2,5811685,5815085,-1,5811685,5815085,2808,2559,7.99882,893.778,2808,2559,6.497067,708.442999999999,2808,2559,11.836297,1077.929,2808,2559,7.759699,895.904999999999,2808,2559,13.173016,1566.236,2808,2559,15.326832,1779.222,2808,2559,6.586761,705.35,2808,2559,3.848179,972.717999999999,2808,2559,4.66703199999999,570.268,2808,2559,4.64200299999999,951.078999999999,2808,2559,1.251193,276.764999999999,2808,2558,2.261619,35.1989999999999,2808,2558,3.118045,54,2808,2558,2.25109,38,GmAFB2/3_A
Glyma.02G142500,A,KRH71337,Glyma.02G142500.3,IAA,IAA16,2,14690185,14691925,-1,14690185,14691925,707,458,14.68807,293.74,707,458,529.887080999999,10341.08,707,458,28.5165089999999,464.8,707,458,73.1104109999999,1510.746,707,458,7.35683899999999,156.551999999999,707,458,6.637677,137.907999999999,707,458,7.45598899999999,142.9,707,458,43.2380909999999,1956.111,707,458,1.05170499999999,23,707,458,114.709942,4206.36999999999,707,458,0.202363999999999,8.012,707,457,20.562404,57.1739999999999,707,457,67.38361,208.485999999999,707,457,1.533396,4.62399999999999,GmIAA16_A
Glyma.02G142600,A,KRH71338,Glyma.02G142600.1,IAA,IAA3/4,2,14709703,14711363,1,14709703,14711363,1201,952,4.368019,181.574,1201,952,80.6899169999999,3273.206,1201,952,21.4424059999999,726.464,1201,952,19.626818,843.010999999999,1201,952,2.986723,132.109,1201,952,4.78666799999999,206.717999999999,1201,952,1.771882,70.5889999999999,1201,952,19.235016,1808.80199999999,1201,952,0.679705,30.898,1201,952,13.5903379999999,1035.877,1201,952,5.92342299999999,487.446,1201,951,7.34850699999999,42.52,1201,951,2.26301,14.57,1201,951,6.20493299999999,38.941,GmIAA3/4_B
Glyma.02G142600,A,KRH71339,Glyma.02G142600.2,IAA,IAA3/4,2,14709703,14711363,1,14709827,14710517,459,210,7.18318299999999,65.867,459,210,123.498739,1105.093,459,210,33.350047000000004,249.241,459,210,59.3467389999999,562.293,459,210,0,0,459,210,4.404992,41.9639999999999,459,210,1.801174,15.8279999999999,459,210,24.031058,498.487,459,210,0,0,459,210,28.247052,474.934,459,210,8.6071,156.24,459,209,0,0,459,209,0,0,459,209,0,0,GmIAA3/4_B
Glyma.02G152800,TIR1,KRH71533,Glyma.02G152800.1,AFB/TIR1,TIR1,2,15691669,15694939,1,15691669,15694939,2730,2481,0,0,2730,2481,0,0,2730,2481,0,0,2730,2481,0,0,2730,2481,0,0,2730,2481,0,0,2730,2481,0,0,2730,2481,0.555477,136.13,2730,2481,0,0,2730,2481,0.678317999999999,134.741,2730,2481,0,0,2730,2480,12.7383299999999,192.21,2730,2480,6.07774699999999,102.047,2730,2480,3.294737,53.9219999999999,GmTIR1_A
Glyma.02G152800,TIR1,KRH71534,Glyma.02G152800.2,AFB/TIR1,TIR1,2,15691669,15694939,1,15691678,15694938,2720,2471,22.069192,2381.18199999999,2720,2471,16.181094,1703.718,2720,2471,22.849022,2009.297,2720,2471,21.004047,2341.652,2720,2471,29.3526789999999,3369.94,2720,2471,33.9175299999999,3801.933,2720,2471,17.176745,1776.135,2720,2471,12.164769,2969.19099999999,2720,2471,17.838179,2104.706,2720,2471,20.2029369999999,3996.945,2720,2471,15.200032,3246.63799999999,2720,2470,0,0,2720,2470,0,0,2720,2470,0,0,GmTIR1_A
Glyma.02G211800,AFB4/5,KRH72427,Glyma.02G211800,AFB/TIR1,AFB4/5,2,39709361,39712971,-1,39709361,39712971,3364,3115,6.98003399999999,949.399,3364,3115,4.636579,615.422,3364,3115,6.30084,698.49,3364,3115,4.172037,586.345,3364,3115,6.035692,873.548,3364,3115,6.66612199999999,941.974,3364,3115,3.48162899999999,453.839999999999,3364,3115,4.63674699999999,1426.701,3364,3115,3.87093899999999,575.760999999999,3364,3115,8.45475599999999,2108.62899999999,3364,3115,2.524239,679.681,3364,3114,3.86247199999999,73.18,3364,3114,10.1517529999999,214.026,3364,3114,2.34707499999999,48.2319999999999,GmAFB4/5_A
Glyma.02G218100,A,KRH72524,Glyma.02G218100.2,IAA,IAA8/9,2,40542301,40547137,1,40542301,40547137,2642,2393,17.7160709999999,1851.15799999999,2642,2393,33.160657,3381.29399999999,2642,2393,19.529546,1663.178,2642,2393,9.402713,1015.179,2642,2393,41.927213,4661.657,2642,2393,45.314711,4919.143,2642,2393,22.468515,2249.983,2642,2393,18.464959,4364.68099999999,2642,2393,2.488369,284.331999999999,2642,2393,19.884609,3809.78699999999,2642,2393,6.034739,1248.297,2642,2392,16.892251,245.843999999999,2642,2392,63.329908,1025.598,2642,2392,5.701698,90.003,GmIAA8/9_B
Glyma.02G218100,A,KRH72526,Glyma.02G218100.4,IAA,IAA8/9,2,40542301,40547137,1,40543409,40544477,894,645,58.683503,1652.757,894,645,91.01578,2501.45899999999,894,645,50.0381089999999,1148.58899999999,894,645,54.9235249999999,1598.324,894,645,79.5811139999999,2384.907,894,645,54.4074949999999,1591.93699999999,894,645,42.5680389999999,1148.962,894,645,25.8878209999999,1649.365,894,645,6.383128,196.59,894,645,51.413131,2655.06199999999,894,645,8.588162,478.824999999999,894,644,0,0,894,644,0,0,894,644,0,0,GmIAA8/9_B
