Gene stable ID,Transcript stable ID,Protein stable ID,Exon stable ID,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Karyotype band,Transcript start (bp),Transcript end (bp),Transcription start site (TSS),Transcript length (including UTRs and CDS),Gene name,Source of gene name,Transcript count,Gene % GC content,Gene type,Transcript type,Source (gene),Source (transcript),Gene Synonym
GLYMA_01G019400,KRH74432,KRH74432,KRH74432-1,hypothetical protein,1,1886628,1890851,-1,,1886628,1890851,1890851,2359,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74432,KRH74432,KRH74432-2,hypothetical protein,1,1886628,1890851,-1,,1886628,1890851,1890851,2359,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74432,KRH74432,KRH74432-3,hypothetical protein,1,1886628,1890851,-1,,1886628,1890851,1890851,2359,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74432,KRH74432,KRH74432-4,hypothetical protein,1,1886628,1890851,-1,,1886628,1890851,1890851,2359,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74432,KRH74432,KRH74432-5,hypothetical protein,1,1886628,1890851,-1,,1886628,1890851,1890851,2359,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74432,KRH74432,KRH74432-6,hypothetical protein,1,1886628,1890851,-1,,1886628,1890851,1890851,2359,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74435,KRH74435,KRH74432-2,hypothetical protein,1,1886628,1890851,-1,,1887921,1890811,1890811,2553,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74435,KRH74435,KRH74432-3,hypothetical protein,1,1886628,1890851,-1,,1887921,1890811,1890811,2553,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74435,KRH74435,KRH74435-1,hypothetical protein,1,1886628,1890851,-1,,1887921,1890811,1890811,2553,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74435,KRH74435,KRH74435-4,hypothetical protein,1,1886628,1890851,-1,,1887921,1890811,1890811,2553,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74433,KRH74433,KRH74432-2,hypothetical protein,1,1886628,1890851,-1,,1886628,1890669,1890669,2177,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74433,KRH74433,KRH74432-3,hypothetical protein,1,1886628,1890851,-1,,1886628,1890669,1890669,2177,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74433,KRH74433,KRH74432-4,hypothetical protein,1,1886628,1890851,-1,,1886628,1890669,1890669,2177,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74433,KRH74433,KRH74432-5,hypothetical protein,1,1886628,1890851,-1,,1886628,1890669,1890669,2177,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74433,KRH74433,KRH74432-6,hypothetical protein,1,1886628,1890851,-1,,1886628,1890669,1890669,2177,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74433,KRH74433,KRH74433-1,hypothetical protein,1,1886628,1890851,-1,,1886628,1890669,1890669,2177,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74434,KRH74434,KRH74432-2,hypothetical protein,1,1886628,1890851,-1,,1887049,1889993,1889993,1080,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74434,KRH74434,KRH74432-3,hypothetical protein,1,1886628,1890851,-1,,1887049,1889993,1889993,1080,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74434,KRH74434,KRH74432-4,hypothetical protein,1,1886628,1890851,-1,,1887049,1889993,1889993,1080,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74434,KRH74434,KRH74432-5,hypothetical protein,1,1886628,1890851,-1,,1887049,1889993,1889993,1080,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74434,KRH74434,KRH74434-1,hypothetical protein,1,1886628,1890851,-1,,1887049,1889993,1889993,1080,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G019400,KRH74434,KRH74434,KRH74434-6,hypothetical protein,1,1886628,1890851,-1,,1887049,1889993,1889993,1080,,,4,37.17,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-1,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-2,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-3,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-4,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-5,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-6,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-7,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-8,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-9,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-10,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-11,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-12,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-13,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75716,KRH75716,KRH75716-14,hypothetical protein,1,34600880,34605669,-1,,34600880,34605657,34605657,3056,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-2,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-3,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-4,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-5,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-6,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-7,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-8,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-9,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-10,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-11,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-12,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-13,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75716-14,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G103500,KRH75717,KRH75717,KRH75717-1,hypothetical protein,1,34600880,34605669,-1,,34600880,34605669,34605669,3068,,,2,37.93,protein_coding,protein_coding,ena,ena,
GLYMA_01G098000,KRH75635,KRH75635,KRH75635-1,hypothetical protein,1,32569826,32573493,-1,,32569826,32573493,32573493,951,,,1,35.01,protein_coding,protein_coding,ena,ena,
GLYMA_01G098000,KRH75635,KRH75635,KRH75635-2,hypothetical protein,1,32569826,32573493,-1,,32569826,32573493,32573493,951,,,1,35.01,protein_coding,protein_coding,ena,ena,
GLYMA_01G098000,KRH75635,KRH75635,KRH75635-3,hypothetical protein,1,32569826,32573493,-1,,32569826,32573493,32573493,951,,,1,35.01,protein_coding,protein_coding,ena,ena,
GLYMA_01G098000,KRH75635,KRH75635,KRH75635-4,hypothetical protein,1,32569826,32573493,-1,,32569826,32573493,32573493,951,,,1,35.01,protein_coding,protein_coding,ena,ena,
GLYMA_01G098000,KRH75635,KRH75635,KRH75635-5,hypothetical protein,1,32569826,32573493,-1,,32569826,32573493,32573493,951,,,1,35.01,protein_coding,protein_coding,ena,ena,
GLYMA_01G098000,KRH75635,KRH75635,KRH75635-6,hypothetical protein,1,32569826,32573493,-1,,32569826,32573493,32573493,951,,,1,35.01,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-1,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-2,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-3,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-4,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-5,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-6,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-7,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-8,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-9,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-10,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74146,KRH74146,KRH74146-11,hypothetical protein,1,291328,297375,-1,,292533,297250,297250,3207,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74146-2,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74146-3,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74146-4,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74146-5,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74146-6,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74146-7,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74146-8,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74146-9,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74146-10,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74145-1,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G002100,KRH74145,KRH74145,KRH74145-11,hypothetical protein,1,291328,297375,-1,,291328,297375,297375,4096,,,2,40.81,protein_coding,protein_coding,ena,ena,
GLYMA_01G039300,KRH74730,KRH74730,KRH74730-1,hypothetical protein,1,4256747,4258161,-1,,4256747,4258161,4258161,486,,,1,35.05,protein_coding,protein_coding,ena,ena,
GLYMA_01G039300,KRH74730,KRH74730,KRH74730-2,hypothetical protein,1,4256747,4258161,-1,,4256747,4258161,4258161,486,,,1,35.05,protein_coding,protein_coding,ena,ena,
GLYMA_01G039300,KRH74730,KRH74730,KRH74730-3,hypothetical protein,1,4256747,4258161,-1,,4256747,4258161,4258161,486,,,1,35.05,protein_coding,protein_coding,ena,ena,
GLYMA_02G142400,KRH71336,KRH71336,KRH71336-1,hypothetical protein,2,14688639,14689877,-1,,14688639,14689877,14689877,481,,,1,31.96,protein_coding,protein_coding,ena,ena,
GLYMA_02G142400,KRH71336,KRH71336,KRH71336-2,hypothetical protein,2,14688639,14689877,-1,,14688639,14689877,14689877,481,,,1,31.96,protein_coding,protein_coding,ena,ena,
GLYMA_02G142400,KRH71336,KRH71336,KRH71336-3,hypothetical protein,2,14688639,14689877,-1,,14688639,14689877,14689877,481,,,1,31.96,protein_coding,protein_coding,ena,ena,
GLYMA_02G218100,KRH72524,KRH72524,KRH72524-1,hypothetical protein,2,40542301,40547137,1,,40542301,40547137,40542301,2642,,,4,35.33,protein_coding,protein_coding,ena,ena,
GLYMA_02G218100,KRH72524,KRH72524,KRH72524-2,hypothetical protein,2,40542301,40547137,1,,40542301,40547137,40542301,2642,,,4,35.33,protein_coding,protein_coding,ena,ena,
GLYMA_02G218100,KRH72524,KRH72524,KRH72524-3,hypothetical protein,2,40542301,40547137,1,,40542301,40547137,40542301,2642,,,4,35.33,protein_coding,protein_coding,ena,ena,
GLYMA_02G218100,KRH72524,KRH72524,KRH72524-4,hypothetical protein,2,40542301,40547137,1,,40542301,40547137,40542301,2642,,,4,35.33,protein_coding,protein_coding,ena,ena,
GLYMA_02G218100,KRH72524,KRH72524,KRH72524-5,hypothetical protein,2,40542301,40547137,1,,40542301,40547137,40542301,2642,,,4,35.33,protein_coding,protein_coding,ena,ena,
