tair_locus,name,ensembl_gene_id,ortholog_name
Glyma.10G180100.1,GmIAA7/14/17,Glyma.10G180100,GmIAA7/14/17-A
Glyma.20G210400.1,GmIAA7/14/17,Glyma.20G210400,GmIAA7/14/17-B
Glyma.10G162400.2,GmIAA16,Glyma.10G162400,GmIAA16-A
Glyma.20G225000.1,GmIAA16,Glyma.20G225000,GmIAA16-B
Glyma.03G247400.1,GmIAA16,Glyma.03G247400,GmIAA16-C
Glyma.19G245200.1,GmIAA16,Glyma.19G245200,GmIAA16-D
Glyma.10G031900.1,GmIAA16,Glyma.10G031900,GmIAA16-E
Glyma.02G142500.3,GmIAA16,Glyma.02G142500,GmIAA16-F
Glyma.19G161100.1,GmIAA16,Glyma.19G161100,GmIAA16-G
Glyma.03G158700.1,GmIAA16,Glyma.03G158700,GmIAA16-H
Glyma.13G361100.1,GmIAA6/19,Glyma.13G361100,GmIAA6/19-A
Glyma.15G012800.1,GmIAA6/19,Glyma.15G012800,GmIAA6/19-B
Glyma.07G034200.1,GmIAA6/19,Glyma.07G034200,GmIAA6/19-C
Glyma.08G207900.1,GmIAA6/19,Glyma.08G207900,GmIAA6/19-D
Glyma.10G180000.1,GmIAA1-4,Glyma.10G180000,GmIAA1-4-A
Glyma.20G210500.1,GmIAA1-4,Glyma.20G210500,GmIAA1-4-B
Glyma.10G000700.2,GmIAA1-4,Glyma.10G000700,GmIAA1-4-C
Glyma.02G000500.1,GmIAA1-4,Glyma.02G000500,GmIAA1-4-D
Glyma.19G161000.1,GmIAA1-4,Glyma.19G161000,GmIAA1-4-E
Glyma.03G158600.1,GmIAA1-4,Glyma.03G158600,GmIAA1-4-F
Glyma.10G031800.3,GmIAA1-4,Glyma.10G031800,GmIAA1-4-G
Glyma.02G142600.1,GmIAA1-4,Glyma.02G142600,GmIAA1-4-H
Glyma.09G203300.1,GmIAA8-9,Glyma.09G203300,GmIAA8-9-A
Glyma.01G019400.2,GmIAA8-9,Glyma.01G019400,GmIAA8-9-B
Glyma.08G273500.1,GmIAA8-9,Glyma.08G273500,GmIAA8-9-C
Glyma.01G098000.3,GmIAA8-9,Glyma.01G098000,GmIAA8-9-D
Glyma.06G091700.3,GmIAA8-9,Glyma.06G091700,GmIAA8-9-E
Glyma.04G089900.1,GmIAA8-9,Glyma.04G089900,GmIAA8-9-F
Glyma.14G185400.1,GmIAA8-9,Glyma.14G185400,GmIAA8-9-G
Glyma.02G218100.3,GmIAA8-9,Glyma.02G218100,GmIAA8-9-H
Glyma.05G229300.1,GmIAA27,Glyma.05G229300,GmIAA27-A
Glyma.01G039300.2,GmIAA27,Glyma.01G039300,GmIAA27-B
Glyma.08G036400.1,GmIAA27,Glyma.08G036400,GmIAA27-C
Glyma.09G193000.1,GmIAA27,Glyma.09G193000,GmIAA27-D
Glyma.13G356600.1,GmIAA27,Glyma.13G356600,GmIAA27-E
Glyma.15G017500.1,GmIAA27,Glyma.15G017500,GmIAA27-F
Glyma.07G018100.1,GmIAA27,Glyma.07G018100,GmIAA27-G
Glyma.08G203100.1,GmIAA27,Glyma.08G203100,GmIAA27-H
Glyma.17G042800.1,GmIAA31,Glyma.17G042800,GmIAA31-A
Glyma.13G117100.1,GmIAA31,Glyma.13G117100,GmIAA31-B
Glyma.19G221900.1,GmIAA31,Glyma.19G221900,GmIAA31-C
Glyma.03G224800.1,GmIAA31,Glyma.03G224800,GmIAA31-D
Glyma.10G138500.1,GmIAA31,Glyma.10G138500,GmIAA31-E
Glyma.02G007300.1,GmIAA31,Glyma.02G007300,GmIAA31-F
Glyma.19G168500.1,GmIAA12-13,Glyma.19G168500,GmIAA12-13-A
Glyma.03G167400.9,GmIAA12-13,Glyma.03G167400,GmIAA12-13-B
Glyma.13G127000.3,GmIAA12-13,Glyma.13G127000,GmIAA12-13-C
Glyma.10G040400.3,GmIAA12-13,Glyma.10G040400,GmIAA12-13-D
Glyma.07G015200.1,GmIAA18/26/28,Glyma.07G015200,GmIAA18/26/28-A
Glyma.08G200700.1,GmIAA18/26/28,Glyma.08G200700,GmIAA18/26/28-B
Glyma.13G354100.11,GmIAA18/26/28,Glyma.13G354100,GmIAA18/26/28-C
Glyma.15G020300.1,GmIAA18/26/28,Glyma.15G020300,GmIAA18/26/28-D
Glyma.06G067700.1,GmIAA29,Glyma.06G067700,GmIAA29-A
Glyma.04G066300.1,GmIAA29,Glyma.04G066300,GmIAA29-B
Glyma.13G159000.1,GmIAA29,Glyma.13G159000,GmIAA29-C
Glyma.17G112300.1,GmIAA29,Glyma.17G112300,GmIAA29-D
Glyma.10G270500.1,GmIAA32/34,Glyma.10G270500,GmIAA32/34-A
Glyma.20G120800.1,GmIAA32/34,Glyma.20G120800,GmIAA32/34-B
Glyma.13G361200.5,GmIAA15,Glyma.13G361200,GmIAA15-A
Glyma.15G012700.1,GmIAA15,Glyma.15G012700,GmIAA15-B
Glyma.20G083900.1,GmIAA33,Glyma.20G083900,GmIAA33-A
