	Views	Protein	Species	E-value	% identity	Align len	Strands	Query ID	Query from	Query to	Target from	Target to	Bitscore	# identical	Positives	Gaps	Query len	Target len
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT1G04100.1	AT1G04100.1	A.thaliana Araport11	2.91e-173	100	261	+/+	AT1G04100.1	1	261	1	261	480.33	261	261	0	261	262
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G28640.3	AT4G28640.3	A.thaliana Araport11	1.13e-48	45	252	+/+	AT1G04100.1	23	260	16	242	163.696	113	138	39	261	251
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G28640.1	AT4G28640.1	A.thaliana Araport11	5.10e-48	45	250	+/+	AT1G04100.1	23	258	16	240	161.77	112	137	39	261	247
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT4G28640.2	AT4G28640.2	A.thaliana Araport11	3.00e-47	45	251	+/+	AT1G04100.1	23	258	16	240	161.77	113	141	41	261	303
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G132200.2.p	GlysoPI483463.19G132200.2.p	G.soja v1.1	1.01e-43	49	176	+/+	AT1G04100.1	95	259	38	212	150.214	87	110	12	261	230
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G168500.8.p	Glyma.19G168500.8.p	G.max Wm82.a4.v1	2.21e-43	50	179	+/+	AT1G04100.1	95	261	77	254	150.214	89	114	13	261	255
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G132200.8.p	GlysoPI483463.19G132200.8.p	G.soja v1.1	4.12e-43	49	177	+/+	AT1G04100.1	95	260	76	251	149.828	87	110	12	261	268
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G168500.6.p	Glyma.19G168500.6.p	G.max Wm82.a4.v1	4.12e-43	49	177	+/+	AT1G04100.1	95	260	76	251	149.828	87	110	12	261	268
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G168500.5.p	Glyma.19G168500.5.p	G.max Wm82.a4.v1	6.64e-43	49	177	+/+	AT1G04100.1	95	260	77	252	149.443	87	110	12	261	269
	phytozome-next.jgi.doe.gov/report/protein/Mtruncatula_Mt4_0v1/Medtr1g069495.1	Medtr1g069495.1	M.truncatula Mt4.0v1	7.69e-43	48	177	+/+	AT1G04100.1	95	260	84	257	149.443	85	109	14	261	273
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G132200.5.p	GlysoPI483463.19G132200.5.p	G.soja v1.1	1.07e-42	49	177	+/+	AT1G04100.1	95	259	38	213	147.902	87	112	13	261	231
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.19G132200.1.p	GlysoPI483463.19G132200.1.p	G.soja v1.1	4.71e-42	49	178	+/+	AT1G04100.1	95	260	76	252	147.132	87	112	13	261	269
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.19G168500.1.p	Glyma.19G168500.1.p	G.max Wm82.a4.v1	5.80e-42	49	178	+/+	AT1G04100.1	95	260	77	253	147.132	87	112	13	261	270
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G33310.2	AT2G33310.2	A.thaliana Araport11	1.20e-40	48	168	+/+	AT1G04100.1	95	260	78	232	142.895	81	106	15	261	248
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G33310.1	AT2G33310.1	A.thaliana Araport11	1.29e-40	48	168	+/+	AT1G04100.1	95	260	77	231	142.895	81	106	15	261	247
	phytozome-next.jgi.doe.gov/report/protein/Athaliana_Araport11/AT2G33310.3	AT2G33310.3	A.thaliana Araport11	1.29e-40	48	168	+/+	AT1G04100.1	95	260	77	231	142.895	81	106	15	261	247
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.13G095100.1.p	GlysoPI483463.13G095100.1.p	G.soja v1.1	1.37e-40	47	175	+/+	AT1G04100.1	95	260	105	277	144.05	83	112	11	261	292
	phytozome-next.jgi.doe.gov/report/protein/Gsoja_v1_1/GlysoPI483463.10G037300.1.p	GlysoPI483463.10G037300.1.p	G.soja v1.1	1.87e-40	48	176	+/+	AT1G04100.1	95	260	100	272	143.665	84	108	13	261	287
	phytozome-next.jgi.doe.gov/report/protein/Ljaponicus_Lj1_0v1/Lj1g0026469.1	Lj1g0026469.1	L.japonicus Lj1.0v1	1.10e-39	45	186	+/+	AT1G04100.1	90	259	64	245	140.584	84	109	20	261	254
	phytozome-next.jgi.doe.gov/report/protein/Gmax_Wm82_a4_v1/Glyma.13G127000.3.p	Glyma.13G127000.3.p	G.max Wm82.a4.v1	2.26e-39	47	175	+/+	AT1G04100.1	95	260	194	366	143.28	82	112	11	261	381
